*Pick And Place List
*Company=
*Author=
*eMail=
*
*Project=Gatenmal
*Date=23:37:37
*CreatedBy=Fritzing 0.9.3b.04.19.5c895d327c44a3114e5fcc9d8260daf0cbb52806
*
*
*Coordinates in mm, always center of component
*Origin 0/0=Lower left corner of PCB
*Rotation in degree (0-360, math. pos.)
*
*No;Value;Package;X;Y;Rotation;Side;Name
1;;;41.9807;-83.8832;0;Bottom;Hole75
2;;;23.1287;-32.2266;-90;Bottom;TXT3
3;;;29.2806;-1.33314;0;Bottom;Hole60
4;;;80.1525;-64.1376;-90;Bottom;TXT3
5;;;3.7484;-45.0578;-90;Bottom;TXT3
6;;;46.9908;-73.8396;-90;Bottom;TXT3
7;;;49.6004;-83.8832;0;Bottom;Hole72
8;;;41.9804;-1.33304;0;Bottom;Hole83
9;;THT;34.3606;-83.8832;0;Bottom;J10
10;;;41.9455;-55.2178;-90;Bottom;TXT3
11;;THT;20.3906;-77.5332;0;Bottom;J14
12;;;16.5681;-73.8396;-90;Bottom;TXT3
13;;;42.0793;-45.0578;-90;Bottom;TXT3
14;;THT;11.5006;-77.5332;0;Bottom;J6
15;;THT;41.9806;-59.7532;0;Bottom;J50
16;;;29.2805;-19.1132;0;Bottom;Hole120
17;;;47.0604;-1.33304;0;Bottom;Hole81
18;;THT;24.2006;-69.9132;0;Bottom;J44
19;;;42.0446;-73.8396;-90;Bottom;TXT3
20;;;29.3627;-55.2178;-90;Bottom;TXT3
21;;THT;48.3306;-59.7532;0;Bottom;J49
22;;;54.6804;-1.33304;0;Bottom;Hole78
23;;;59.7604;-1.33304;0;Bottom;Hole89
24;;THT;21.6606;-83.8832;0;Bottom;J1
25;;;24.2722;-81.2927;-90;Bottom;TXT3
26;;THT;49.6006;-49.5932;0;Bottom;J57
27;;;34.4427;-45.0578;-90;Bottom;TXT3
28;;;59.7604;-83.8832;0;Bottom;Hole86
29;;;11.5006;-10.2231;0;Bottom;Hole126
30;;THT;1.34056;-83.8832;0;Bottom;J22
31;;;11.5006;-1.33318;0;Bottom;Hole68
32;;THT;34.3606;-49.5932;0;Bottom;J55
33;;;36.9485;-73.8396;-90;Bottom;TXT3
34;;THT;10.2306;-59.7532;0;Bottom;J53
35;;;11.6417;-4.44322;-90;Bottom;TXT3
36;;;35.7293;-55.2178;-90;Bottom;TXT3
37;;THT;19.1206;-83.8832;0;Bottom;J15
38;;THT;11.5006;-49.5932;0;Bottom;J63
39;;;8.96051;-1.33323;0;Bottom;Hole65
40;;;27.9406;-73.8396;-90;Bottom;TXT3
41;;;52.1405;-10.2232;0;Bottom;Hole134
42;;;3.88055;-10.2233;0;Bottom;Hole123
43;;THT;36.9006;-77.5332;0;Bottom;J31
44;;THT;39.4406;-69.9132;0;Bottom;J41
45;;;11.6846;-45.0578;-90;Bottom;TXT3
46;;;9.14455;-65.3778;-90;Bottom;TXT3
47;;;16.7197;-4.44322;-90;Bottom;TXT3
48;;THT;80.0806;-69.9132;0;Bottom;J65
49;;;41.9807;-10.223;0;Bottom;Hole131
50;;THT;6.42056;-77.5332;0;Bottom;J8
51;;;10.2305;-28.0032;0;Bottom;Hole106
52;;THT;16.5806;-83.8832;0;Bottom;J16
53;;;31.8524;-73.8396;-90;Bottom;TXT3
54;;THT;72.4606;-49.5932;0;Bottom;J60
55;;;23.0717;-55.2178;-90;Bottom;TXT3
56;;;20.3905;-10.2233;0;Bottom;Hole129
57;;;48.3864;-55.2178;-90;Bottom;TXT3
58;;THT;8.96056;-83.8832;0;Bottom;J17
59;;;19.1708;-45.0578;-90;Bottom;TXT3
60;;THT;29.2806;-59.7532;0;Bottom;J45
61;;;61.0306;-28.0031;0;Bottom;Hole104
62;;;49.6886;-65.3778;-90;Bottom;TXT3
63;;THT;52.1406;-77.5332;0;Bottom;J34
64;;;72.4609;-10.2229;0;Bottom;Hole137
65;;;19.1207;-19.113;0;Bottom;Hole112
66;;;29.2806;-28.0031;0;Bottom;Hole101
67;;;24.2005;-1.33323;0;Bottom;Hole62
68;;;26.7405;-39.4332;0;Bottom;Hole92
69;;THT;31.8206;-77.5332;0;Bottom;J30
70;;;10.4146;-55.2178;-90;Bottom;TXT3
71;;;16.5805;-28.0032;0;Bottom;Hole109
72;;;31.8204;-1.33309;0;Bottom;Hole59
73;;;31.9597;-4.44322;-90;Bottom;TXT3
74;;;44.5925;-65.3778;-90;Bottom;TXT3
75;;;72.5486;-45.0578;-90;Bottom;TXT3
76;;;34.2412;-4.44322;-90;Bottom;TXT3
77;;THT;16.5806;-77.5332;0;Bottom;J4
78;;;52.1404;-83.8832;0;Bottom;Hole71
79;;;61.1186;-55.2178;-90;Bottom;TXT3
80;;THT;64.8406;-49.5932;0;Bottom;J59
81;;;26.8817;-4.44322;-90;Bottom;TXT3
82;;;44.5206;-19.1131;0;Bottom;Hole115
83;;;19.1204;-39.4333;0;Bottom;Hole99
84;;;19.0012;-4.44322;-90;Bottom;TXT3
85;;;16.5806;-1.33309;0;Bottom;Hole63
86;;;18.9673;-81.2927;-90;Bottom;TXT3
87;;;39.4964;-65.3778;-90;Bottom;TXT3
88;;;16.5783;-13.8847;-90;Bottom;TXT3
89;;THT;6.42056;-83.8832;0;Bottom;J18
90;;;11.5007;-39.4331;0;Bottom;Hole96
91;;;27.9507;-13.8847;-90;Bottom;TXT3
92;;THT;61.0306;-59.7532;0;Bottom;J48
93;;;36.9004;-83.8832;0;Bottom;Hole77
94;;;29.35;-81.2927;-90;Bottom;TXT3
95;;;3.88041;-1.33304;0;Bottom;Hole70
96;;;49.7651;-23.2429;-90;Bottom;TXT3
97;;;16.6308;-55.2178;-90;Bottom;TXT3
98;;;36.9004;-1.33304;0;Bottom;Hole85
99;;;44.5207;-83.8832;0;Bottom;Hole74
100;;;9.06609;-4.44322;-90;Bottom;TXT3
101;;;34.3255;-65.3778;-90;Bottom;TXT3
102;;;34.3605;-39.4332;0;Bottom;Hole91
103;;THT;47.0606;-77.5332;0;Bottom;J33
104;;;11.6078;-81.2927;-90;Bottom;TXT3
105;;;6.22835;-4.44322;-90;Bottom;TXT3
106;;;44.5204;-1.33304;0;Bottom;Hole82
107;;;3.98604;-4.44322;-90;Bottom;TXT3
108;;;79.9498;-28.9802;0;Bottom;TXT3
109;;;21.4345;-81.2927;-90;Bottom;TXT3
110;;THT;72.4606;-69.9132;0;Bottom;J68
111;;;28.0106;-10.2232;0;Bottom;Hole122
112;;;20.346;-13.8847;-90;Bottom;TXT3
113;;THT;34.3606;-69.9132;0;Bottom;J42
114;;;41.9804;-28.0033;0;Bottom;Hole108
115;;THT;31.8206;-83.8832;0;Bottom;J11
116;;;8.9247;-13.8847;-90;Bottom;TXT3
117;;;26.8478;-81.2927;-90;Bottom;TXT3
118;;;9.22103;-23.2429;-90;Bottom;TXT3
119;;THT;3.88056;-49.5932;0;Bottom;J64
120;;;19.1207;-1.33332;0;Bottom;Hole64
121;;;14.0406;-19.1131;0;Bottom;Hole119
122;;;54.7525;-55.2178;-90;Bottom;TXT3
123;;THT;14.0406;-83.8832;0;Bottom;J19
124;;;1.58356;-4.44322;-90;Bottom;TXT3
125;;THT;44.5206;-69.9132;0;Bottom;J40
126;;;21.4683;-4.44322;-90;Bottom;TXT3
127;;;36.9006;-10.2231;0;Bottom;Hole130
128;;THT;19.1206;-69.9132;0;Bottom;J38
129;;THT;3.88056;-77.5332;0;Bottom;J23
130;;;49.6004;-1.33304;0;Bottom;Hole80
131;;;14.11;-81.2927;-90;Bottom;TXT3
132;;;29.3793;-65.3778;-90;Bottom;TXT3
133;;;24.3061;-4.44322;-90;Bottom;TXT3
134;;;79.8751;-27.214;0;Bottom;TXT3
135;;;42.0026;-32.2266;-90;Bottom;TXT3
136;;;31.8626;-13.8847;-90;Bottom;TXT3
137;;;54.6807;-83.8832;0;Bottom;Hole88
138;;;6.42252;-13.8847;-90;Bottom;TXT3
139;;;72.4605;-39.4332;0;Bottom;Hole94
140;;;16.5807;-10.223;0;Bottom;Hole128
141;;;6.41236;-73.8396;-90;Bottom;TXT3
142;;THT;22.9306;-59.7532;0;Bottom;J51
143;;THT;8.96056;-69.9132;0;Bottom;J36
144;;;49.6007;-19.113;0;Bottom;Hole114
145;;;19.3381;-23.2429;-90;Bottom;TXT3
146;;;3.7484;-55.2178;-90;Bottom;TXT3
147;;;8.96055;-10.2232;0;Bottom;Hole125
148;;THT;3.88056;-59.7532;0;Bottom;J54
149;;;41.9806;-39.4331;0;Bottom;Hole100
150;;;24.2005;-19.1133;0;Bottom;Hole111
151;;;14.0406;-1.33313;0;Bottom;Hole67
152;;;9.03223;-81.2927;-90;Bottom;TXT3
153;;THT;26.7406;-49.5932;0;Bottom;J61
154;;;80.0806;-10.2231;0;Bottom;Hole136
155;;;61.1756;-32.2266;-90;Bottom;TXT3
156;;;34.3604;-1.33304;0;Bottom;Hole58
157;;;36.9587;-13.8847;-90;Bottom;TXT3
158;;;13.9291;-13.8847;-90;Bottom;TXT3
159;;;47.0605;-10.2233;0;Bottom;Hole133
160;;;3.91012;-73.8396;-90;Bottom;TXT3
161;;;14.1673;-23.2429;-90;Bottom;TXT3
162;;;54.8095;-32.2266;-90;Bottom;TXT3
163;;THT;14.0406;-77.5332;0;Bottom;J5
164;;;3.95223;-81.2927;-90;Bottom;TXT3
165;;;21.6605;-1.33328;0;Bottom;Hole42
166;;;39.4406;-19.1131;0;Bottom;Hole117
167;;;29.3838;-4.44322;-90;Bottom;TXT3
168;;;48.4434;-32.2266;-90;Bottom;TXT3
169;;;80.0959;-30.441;0;Bottom;TXT3
170;;;47.001;-13.8847;-90;Bottom;TXT3
171;;;3.88056;-28.0033;0;Bottom;Hole103
