*Pick And Place List
*Company=
*Author=
*eMail=
*
*Project=Servoboard met bananenstekers - v0.4
*Date=17:45:29
*CreatedBy=Fritzing 0.9.3b.04.19.5c895d327c44a3114e5fcc9d8260daf0cbb52806
*
*
*Coordinates in mm, always center of component
*Origin 0/0=Lower left corner of PCB
*Rotation in degree (0-360, math. pos.)
*
*No;Value;Package;X;Y;Rotation;Side;Name
1;;THT;48.9757;-38.6502;90;Bottom;J20
2;;THT;38.8157;-38.6502;90;Bottom;J24
3;;THT;53.3513;-51.3502;90;Bottom;J26
4;;;9.60561;-29.7603;0;Bottom;Hole10
5;;;20.9918;-42.0665;-90;Bottom;TXT3
6;;THT;26.1157;-10.7102;0;Bottom;J17
7;;;9.6058;-8.17011;0;Bottom;Hole8
8;;;9.60561;-47.5402;0;Bottom;Hole13
9;;THT;4.52572;-23.4102;0;Bottom;J2
10;;;19.7656;-1.82034;0;Bottom;Hole2
11;;THT;26.1157;-23.4102;0;Bottom;J4
12;;THT;48.9757;-1.8202;90;Bottom;J10
13;;THT;37.5457;-23.4102;0;Bottom;J5
14;;THT;61.6757;-1.8202;90;Bottom;J12
15;;THT;14.6857;-1.8202;90;Bottom;J7
16;;THT;26.1157;-1.8202;90;Bottom;J9
17;;THT;60.4057;-17.0602;180;Bottom;J14
18;;;65.4858;-11.9801;0;Bottom;Hole6
19;;;47.7058;-19.6001;0;Bottom;Hole26
20;;;17.055;-7.72541;0;Bottom;TXT3
21;;;14.5854;-52.8565;0;Bottom;TXT3
22;;;14.6858;-27.2201;0;Bottom;Hole34
23;;;37.5458;-19.6001;0;Bottom;Hole28
24;;;26.1158;-19.6001;0;Bottom;Hole30
25;;;14.6858;-19.6001;0;Bottom;Hole32
26;;;28.8888;-7.60011;0;Bottom;TXT3
27;;THT;59.1357;-43.7302;90;Bottom;J25
28;;;7.92282;-10.4178;0;Bottom;TXT3
29;;THT;26.1157;-51.3502;180;Bottom;J34
30;;;4.52402;-4.33564;0;Bottom;TXT3
31;;;17.8689;-10.3552;0;Bottom;TXT3
32;;;63.6502;-47.5402;0;Bottom;Hole37
33;;THT;35.0057;-52.2289;0;Bottom;J32
34;;THT;30.3347;-49.2015;0;Bottom;J33
35;;;14.7269;-4.33564;0;Bottom;TXT3
36;;;29.6401;-10.2925;0;Bottom;TXT3
37;;;61.5394;-4.33564;0;Bottom;TXT3
38;;;65.4858;-20.8701;0;Bottom;Hole7
39;;THT;64.9201;-51.3502;90;Bottom;J28
40;;;26.094;-4.33564;0;Bottom;TXT3
